day,site,filter,bd_qty,bd_location
1,sterile MQ,0.22um_filter,1.33E+05,adherent
7,BARN,0.22um_filter,4.77E+04,adherent
7,PRPND002,0.22um_filter,4.19E+04,adherent
7,GDPND009,0.22um_filter,7.52E+04,adherent
7,GDPND008,0.22um_filter,5.82E+04,adherent
7,PRPND004,0.22um_filter,8.12E+04,adherent
7,GDPND004,0.22um_filter,5.16E+04,adherent
7,CABIN,0.22um_filter,7.69E+04,adherent
7,NORTH,0.22um_filter,6.83E+04,adherent
7,WEST,0.22um_filter,8.61E+04,adherent
7,PRPND009,0.22um_filter,4.90E+04,adherent
7,GDPND006,0.22um_filter,4.97E+04,adherent
7,PRPND003,0.22um_filter,3.14E+04,adherent
7,GDPND005,0.22um_filter,3.48E+04,adherent
7,GRAMPS,0.22um_filter,7.80E+04,adherent
7,PRPND010,0.22um_filter,4.86E+04,adherent
7,sterile MQ,0.22um_filter,8.06E+04,adherent
